"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 18:50:10 GMT 2023","Wed May 17 18:50:11 GMT 2023","457","tests","test_api","TestBookstoreAPI","","","test_request_list_of_non_fiction_books",""
"passed","Wed May 17 18:50:11 GMT 2023","Wed May 17 18:50:12 GMT 2023","335","tests","test_api","TestBookstoreAPI","","","test_request_non_existent_book_type",""
"passed","Wed May 17 18:50:13 GMT 2023","Wed May 17 18:50:13 GMT 2023","383","tests","test_api","TestBookstoreAPI","","","test_submit_new_book_order",""
"passed","Wed May 17 18:50:12 GMT 2023","Wed May 17 18:50:13 GMT 2023","511","tests","test_api","TestBookstoreAPI","","","test_register_new_user",""
"passed","Wed May 17 18:50:10 GMT 2023","Wed May 17 18:50:10 GMT 2023","444","tests","test_api","TestBookstoreAPI","","","test_request_list_of_all_books",""
"passed","Wed May 17 18:50:09 GMT 2023","Wed May 17 18:50:10 GMT 2023","891","tests","test_api","TestBookstoreAPI","","","test_request_status",""
"passed","Wed May 17 18:50:12 GMT 2023","Wed May 17 18:50:12 GMT 2023","328","tests","test_api","TestBookstoreAPI","","","test_request_single_book",""
"failed","Wed May 17 18:50:15 GMT 2023","Wed May 17 18:50:15 GMT 2023","310","tests","test_api","TestBookstoreAPI","","","test_request_order_by_id",""
"passed","Wed May 17 18:50:14 GMT 2023","Wed May 17 18:50:14 GMT 2023","319","tests","test_api","TestBookstoreAPI","","","test_submit_order_with_invalid_or_non_existent_id",""
"passed","Wed May 17 18:50:14 GMT 2023","Wed May 17 18:50:14 GMT 2023","322","tests","test_api","TestBookstoreAPI","","","test_request_all_book_orders",""
"passed","Wed May 17 18:50:15 GMT 2023","Wed May 17 18:50:16 GMT 2023","403","tests","test_api","TestBookstoreAPI","","","test_request_order_by_invalid_id",""
"passed","Wed May 17 18:50:16 GMT 2023","Wed May 17 18:50:17 GMT 2023","308","tests","test_api","TestBookstoreAPI","","","test_unauthorized_updating_existing_order",""
"passed","Wed May 17 18:50:11 GMT 2023","Wed May 17 18:50:11 GMT 2023","366","tests","test_api","TestBookstoreAPI","","","test_request_list_of_fiction_books",""
"passed","Wed May 17 18:50:13 GMT 2023","Wed May 17 18:50:14 GMT 2023","395","tests","test_api","TestBookstoreAPI","","","test_submit_unauthorised_order",""
"passed","Wed May 17 18:50:15 GMT 2023","Wed May 17 18:50:15 GMT 2023","393","tests","test_api","TestBookstoreAPI","","","test_unauthorized_request_order_by_id",""
"passed","Wed May 17 18:50:12 GMT 2023","Wed May 17 18:50:12 GMT 2023","369","tests","test_api","TestBookstoreAPI","","","test_request_non_existent_book",""
"passed","Wed May 17 18:50:14 GMT 2023","Wed May 17 18:50:15 GMT 2023","325","tests","test_api","TestBookstoreAPI","","","test_unauthorized_request_all_book_orders",""
"failed","Wed May 17 18:50:16 GMT 2023","Wed May 17 18:50:16 GMT 2023","395","tests","test_api","TestBookstoreAPI","","","test_updating_existing_order",""
"passed","Wed May 17 18:50:16 GMT 2023","Wed May 17 18:50:16 GMT 2023","328","tests","test_api","TestBookstoreAPI","","","test_updating_invalid_order",""
"failed","Wed May 17 18:50:17 GMT 2023","Wed May 17 18:50:17 GMT 2023","347","tests","test_api","TestBookstoreAPI","","","test_delete_existing_header",""
