"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 19:40:57 GMT 2023","Wed May 17 19:40:57 GMT 2023","500","tests","test_api","TestBookstoreAPI","","","test_request_order_by_id",""
"passed","Wed May 17 19:40:52 GMT 2023","Wed May 17 19:40:52 GMT 2023","400","tests","test_api","TestBookstoreAPI","","","test_request_list_of_non_fiction_books",""
"passed","Wed May 17 19:40:59 GMT 2023","Wed May 17 19:41:00 GMT 2023","409","tests","test_api","TestBookstoreAPI","","","test_updating_invalid_order",""
"passed","Wed May 17 19:40:52 GMT 2023","Wed May 17 19:40:53 GMT 2023","406","tests","test_api","TestBookstoreAPI","","","test_request_list_of_fiction_books",""
"passed","Wed May 17 19:40:54 GMT 2023","Wed May 17 19:40:54 GMT 2023","397","tests","test_api","TestBookstoreAPI","","","test_request_non_existent_book",""
"passed","Wed May 17 19:41:00 GMT 2023","Wed May 17 19:41:00 GMT 2023","399","tests","test_api","TestBookstoreAPI","","","test_unauthorized_updating_existing_order",""
"passed","Wed May 17 19:40:50 GMT 2023","Wed May 17 19:40:51 GMT 2023","778","tests","test_api","TestBookstoreAPI","","","test_request_status",""
"passed","Wed May 17 19:40:57 GMT 2023","Wed May 17 19:40:58 GMT 2023","490","tests","test_api","TestBookstoreAPI","","","test_unauthorized_request_order_by_id",""
"passed","Wed May 17 19:40:55 GMT 2023","Wed May 17 19:40:56 GMT 2023","425","tests","test_api","TestBookstoreAPI","","","test_submit_order_with_invalid_or_non_existent_id",""
"passed","Wed May 17 19:41:00 GMT 2023","Wed May 17 19:41:02 GMT 2023","1449","tests","test_api","TestBookstoreAPI","","","test_delete_existing_header",""
"passed","Wed May 17 19:40:56 GMT 2023","Wed May 17 19:40:56 GMT 2023","458","tests","test_api","TestBookstoreAPI","","","test_request_all_book_orders",""
"passed","Wed May 17 19:40:58 GMT 2023","Wed May 17 19:40:58 GMT 2023","503","tests","test_api","TestBookstoreAPI","","","test_request_order_by_invalid_id",""
"passed","Wed May 17 19:40:53 GMT 2023","Wed May 17 19:40:54 GMT 2023","420","tests","test_api","TestBookstoreAPI","","","test_request_single_book",""
"passed","Wed May 17 19:40:53 GMT 2023","Wed May 17 19:40:53 GMT 2023","489","tests","test_api","TestBookstoreAPI","","","test_request_non_existent_book_type",""
"passed","Wed May 17 19:40:55 GMT 2023","Wed May 17 19:40:55 GMT 2023","403","tests","test_api","TestBookstoreAPI","","","test_submit_unauthorised_order",""
"passed","Wed May 17 19:40:56 GMT 2023","Wed May 17 19:40:57 GMT 2023","506","tests","test_api","TestBookstoreAPI","","","test_unauthorized_request_all_book_orders",""
"passed","Wed May 17 19:40:54 GMT 2023","Wed May 17 19:40:55 GMT 2023","553","tests","test_api","TestBookstoreAPI","","","test_submit_new_book_order",""
"passed","Wed May 17 19:40:51 GMT 2023","Wed May 17 19:40:52 GMT 2023","574","tests","test_api","TestBookstoreAPI","","","test_request_list_of_all_books",""
"failed","Wed May 17 19:40:54 GMT 2023","Wed May 17 19:40:54 GMT 2023","500","tests","test_api","TestBookstoreAPI","","","test_register_new_user",""
"passed","Wed May 17 19:40:58 GMT 2023","Wed May 17 19:40:59 GMT 2023","937","tests","test_api","TestBookstoreAPI","","","test_updating_existing_order",""
